Date,Actual_Traffic,Forecasted_Traffic,Lower_Bound,Upper_Bound
2023-04-07,41500,41150,39350,42800
2023-04-08,41600,41260,39440,42920
2023-04-09,41700,41370,39530,43040
2023-04-10,41800,41480,39620,43160
2023-04-11,41900,41590,39710,43280
2023-04-12,42000,41700,39800,43400
2023-04-13,42100,41810,39890,43520
2023-04-14,42200,41920,39980,43640
2023-04-15,42300,42030,40070,43760
2023-04-16,42400,42140,40160,43880
2023-04-17,42500,42250,40250,44000
2023-04-18,42600,42360,40340,44120
2023-04-19,42700,42470,40430,44240
2023-04-20,42800,42580,40520,44360
2023-04-21,42900,42690,40610,44480
2023-04-22,40000,39500,38000,41000
2023-04-23,40100,39610,38090,41120
2023-04-24,40200,39720,38180,41240
2023-04-25,40300,39830,38270,41360
2023-04-26,40400,39940,38360,41480
2023-04-27,40500,40050,38450,41600
2023-04-28,40600,40160,38540,41720
2023-04-29,40700,40270,38630,41840
2023-04-30,40800,40380,38720,41960
2023-05-01,40900,40490,38810,42080
2023-05-02,41000,40600,38900,42200
2023-05-03,41100,40710,38990,42320
2023-05-04,41200,40820,39080,42440
2023-05-05,41300,40930,39170,42560
2023-05-06,41400,41040,39260,42680
2023-05-07,41500,41150,39350,42800
2023-05-08,41600,41260,39440,42920
2023-05-09,41700,41370,39530,43040
2023-05-10,41800,41480,39620,43160
2023-05-11,41900,41590,39710,43280
2023-05-12,42000,41700,39800,43400
2023-05-13,42100,41810,39890,43520
2023-05-14,42200,41920,39980,43640
2023-05-15,42300,42030,40070,43760
2023-05-16,42400,42140,40160,43880
2023-05-17,42500,42250,40250,44000
2023-05-18,42600,42360,40340,44120
2023-05-19,42700,42470,40430,44240
2023-05-20,42800,42580,40520,44360
2023-05-21,42900,42690,40610,44480
2023-05-22,40000,39500,38000,41000
2023-05-23,40100,39610,38090,41120
2023-05-24,40200,39720,38180,41240
2023-05-25,40300,39830,38270,41360
2023-05-26,40400,39940,38360,41480
2023-05-27,40500,40050,38450,41600
2023-05-28,40600,40160,38540,41720
2023-05-29,40700,40270,38630,41840
2023-05-30,40800,40380,38720,41960
2023-05-31,40900,40490,38810,42080
2023-06-01,41000,40600,38900,42200
2023-06-02,41100,40710,38990,42320
2023-06-03,41200,40820,39080,42440
2023-06-04,41300,40930,39170,42560
2023-06-05,41400,41040,39260,42680
2023-06-06,41500,41150,39350,42800
2023-06-07,41600,41260,39440,42920
2023-06-08,41700,41370,39530,43040
2023-06-09,41800,41480,39620,43160
2023-06-10,41900,41590,39710,43280
2023-06-11,42000,41700,39800,43400
2023-06-12,42100,41810,39890,43520
2023-06-13,42200,41920,39980,43640
2023-06-14,42300,42030,40070,43760
2023-06-15,42400,42140,40160,43880
2023-06-16,42500,42250,40250,44000
2023-06-17,42600,42360,40340,44120
2023-06-18,42700,42470,40430,44240
2023-06-19,42800,42580,40520,44360
2023-06-20,42900,42690,40610,44480
2023-06-21,40000,39500,38000,41000
2023-06-22,40100,39610,38090,41120
2023-06-23,40200,39720,38180,41240
2023-06-24,40300,39830,38270,41360
2023-06-25,40400,39940,38360,41480
2023-06-26,40500,40050,38450,41600
2023-06-27,40600,40160,38540,41720
2023-06-28,40700,40270,38630,41840
2023-06-29,40800,40380,38720,41960
2023-06-30,40900,40490,38810,42080
2023-07-01,41000,40600,38900,42200
2023-07-02,41100,40710,38990,42320
2023-07-03,41200,40820,39080,42440
2023-07-04,41300,40930,39170,42560
2023-07-05,41400,41040,39260,42680
2023-07-06,41500,41150,39350,42800
2023-07-07,41600,41260,39440,42920
2023-07-08,41700,41370,39530,43040
2023-07-09,41800,41480,39620,43160
2023-07-10,41900,41590,39710,43280
2023-07-11,42000,41700,39800,43400
2023-07-12,42100,41810,39890,43520
2023-07-13,42200,41920,39980,43640
2023-07-14,42300,42030,40070,43760
2023-07-15,42400,42140,40160,43880
2023-07-16,42500,42250,40250,44000
2023-07-17,42600,42360,40340,44120
2023-07-18,42700,42470,40430,44240
2023-07-19,42800,42580,40520,44360
2023-07-20,42900,42690,40610,44480
2023-07-21,40000,39500,38000,41000
2023-07-22,40100,39610,38090,41120
2023-07-23,40200,39720,38180,41240
2023-07-24,40300,39830,38270,41360
2023-07-25,40400,39940,38360,41480
2023-07-26,40500,40050,38450,41600
2023-07-27,40600,40160,38540,41720
2023-07-28,40700,40270,38630,41840
2023-07-29,40800,40380,38720,41960
2023-07-30,40900,40490,38810,42080
2023-07-31,41000,40600,38900,42200
2023-08-01,41100,40710,38990,42320
2023-08-02,41200,40820,39080,42440
2023-08-03,41300,40930,39170,42560
2023-08-04,41400,41040,39260,42680
2023-08-05,41500,41150,39350,42800
2023-08-06,41600,41260,39440,42920
2023-08-07,41700,41370,39530,43040
2023-08-08,41800,41480,39620,43160
2023-08-09,41900,41590,39710,43280
2023-08-10,42000,41700,39800,43400
2023-08-11,42100,41810,39890,43520
2023-08-12,42200,41920,39980,43640
2023-08-13,42300,42030,40070,43760
2023-08-14,42400,42140,40160,43880
2023-08-15,42500,42250,40250,44000
2023-08-16,42600,42360,40340,44120
2023-08-17,42700,42470,40430,44240
2023-08-18,42800,42580,40520,44360
2023-08-19,42900,42690,40610,44480
2023-08-20,40000,39500,38000,41000
2023-08-21,40100,39610,38090,41120
2023-08-22,40200,39720,38180,41240
2023-08-23,40300,39830,38270,41360
2023-08-24,40400,39940,38360,41480
2023-08-25,40500,40050,38450,41600
2023-08-26,40600,40160,38540,41720
2023-08-27,40700,40270,38630,41840
2023-08-28,40800,40380,38720,41960
2023-08-29,40900,40490,38810,42080
2023-08-30,41000,40600,38900,42200
2023-08-31,41100,40710,38990,42320
2023-09-01,41200,40820,39080,42440
2023-09-02,41300,40930,39170,42560
2023-09-03,41400,41040,39260,42680
2023-09-04,41500,41150,39350,42800
2023-09-05,41600,41260,39440,42920
2023-09-06,41700,41370,39530,43040
2023-09-07,41800,41480,39620,43160
2023-09-08,41900,41590,39710,43280
2023-09-09,42000,41700,39800,43400
2023-09-10,42100,41810,39890,43520
2023-09-11,42200,41920,39980,43640
2023-09-12,42300,42030,40070,43760
2023-09-13,42400,42140,40160,43880
2023-09-14,42500,42250,40250,44000
2023-09-15,42600,42360,40340,44120
2023-09-16,42700,42470,40430,44240
2023-09-17,42800,42580,40520,44360
2023-09-18,42900,42690,40610,44480
2023-09-19,40000,39500,38000,41000
2023-09-20,40100,39610,38090,41120
2023-09-21,40200,39720,38180,41240
2023-09-22,40300,39830,38270,41360
2023-09-23,40400,39940,38360,41480
2023-09-24,40500,40050,38450,41600
2023-09-25,40600,40160,38540,41720
2023-09-26,40700,40270,38630,41840
2023-09-27,40800,40380,38720,41960
2023-09-28,40900,40490,38810,42080
2023-09-29,41000,40600,38900,42200
2023-09-30,41100,40710,38990,42320
2023-10-01,41200,40820,39080,42440
2023-10-02,41300,40930,39170,42560
2023-10-03,41400,41040,39260,42680
2023-10-04,41500,41150,39350,42800
2023-10-05,41600,41260,39440,42920
2023-10-06,41700,41370,39530,43040
2023-10-07,41800,41480,39620,43160
2023-10-08,41900,41590,39710,43280
2023-10-09,42000,41700,39800,43400
2023-10-10,42100,41810,39890,43520
2023-10-11,42200,41920,39980,43640
2023-10-12,42300,42030,40070,43760
2023-10-13,42400,42140,40160,43880
2023-10-14,42500,42250,40250,44000
2023-10-15,42600,42360,40340,44120
2023-10-16,42700,42470,40430,44240
2023-10-17,42800,42580,40520,44360
2023-10-18,42900,42690,40610,44480
2023-10-19,40000,39500,38000,41000
2023-10-20,40100,39610,38090,41120
2023-10-21,40200,39720,38180,41240
2023-10-22,40300,39830,38270,41360
2023-10-23,40400,39940,38360,41480
